domain;rank;url;ground truth;auto_pT_5_5;auto_pT_5_10;auto_pT_5_25;auto_pT_5_50;auto_pT_5_100;auto_pT_5_200;auto_pT_5_500;auto_pT_5_1000;time_pT_5_5;time_pT_5_10;time_pT_5_25;time_pT_5_50;time_pT_5_100;time_pT_5_200;time_pT_5_500;time_pT_5_1000
youtube.com;2;https://www.youtube.com;["Hammer.js@2.0.2", "SPF"];["SPF:100.00!1", "Hammer.js:97.92!1"];["SPF:100.00!1", "Hammer.js:98.41!1"];["SPF:100.00!1", "Hammer.js:99.08!1"];["Hammer.js:98.6", "SPF:89.5"];["SPF:98.57!1", "Hammer.js:93.76!1"];["SPF:98.57!1", "Hammer.js:93.76!1"];["SPF:98.57!1", "Hammer.js:93.76!1"];["SPF:98.57!1", "Hammer.js:93.76!1"];122;121;127;114;120;115;107;117
amazon.com;3;https://www.amazon.com;["React", "Lo-Dash", "core-js", "Underscore"];["Lo-Dash:100.00!1", "Underscore:96.67!1"];["Lo-Dash:100.00!1", "Underscore:93.33!1"];["Lo-Dash:100.00!1", "Underscore:92.22!1", "core-js:75.89!1"];["Lo-Dash:100", "Underscore:92.0", "core-js:98.1"];["Lo-Dash:100.01!1", "Underscore:93.62!1", "core-js:66.60!1"];["Lo-Dash:100.01!1", "Underscore:93.10!1", "core-js:66.60!1"];["Lo-Dash:100.00!1", "Underscore:93.10!1", "core-js:66.60!1"];["Lo-Dash:100.00!1", "Underscore:93.10!1", "core-js:66.60!1"];90;94;91;94;89;90;89;93
imdb.com;5;https://www.imdb.com;["React", "Lo-Dash:100", "Underscore"];["Lo-Dash:100.00!1", "Underscore:96.67!1"];["Lo-Dash:100.00!1", "Underscore:93.33!1"];["Lo-Dash:100.00!1", "Underscore:92.22!1"];["Lo-Dash:100", "Underscore:92.0"];["Lo-Dash:100.01!1", "Underscore:93.62!1"];["Lo-Dash:100.01!1", "Underscore:93.10!1"];["Lo-Dash:100.00!1", "Underscore:93.10!1"];["Lo-Dash:100.00!1", "Underscore:93.10!1"];119;111;123;117;113;119;116;111
pornhub.com;7;https://www.pornhub.com;["jQuery@3.6.0", "jQuery UI@1.12.1", "Head JS"];["Head JS:100.00!1", "jQuery:100.00!1", "jQuery UI:100.00!1"];["jQuery:100.00!1", "jQuery UI:100.00!1", "Head JS:100.00!1"];["jQuery UI:100.00!1", "Head JS:100.00!1", "jQuery:99.91!1"];["Head JS:100.0", "jQuery:99.9", "jQuery UI:99.9"];["Head JS:100.00!1", "jQuery UI:99.91!1", "jQuery:99.89!1"];["Head JS:100.00!1", "jQuery:99.81!1", "jQuery UI:99.66!1"];["Head JS:100.00!1", "jQuery:98.98!1", "jQuery UI:98.82!1"];["Head JS:100.00!1", "jQuery:98.90!1", "jQuery UI:97.57!1"];92;92;97;93;94;87;91;99
merriam-webster.com;11;https://www.merriam-webster.com;["jQuery@3.6.3", "jQuery UI@1.13.2", "Vue", "core-js"];["jQuery:100.00!1"];["jQuery:100.00!1", "jQuery UI:79.56!1"];["jQuery:99.96!1", "core-js:79.76!1", "jQuery UI:77.39!1"];["jQuery:99.9", "jQuery UI:96.1", "core-js:74.0"];["jQuery:99.93!1", "core-js:73.99!1", "jQuery UI:72.15!1"];["jQuery:99.88!1", "core-js:73.99!1", "jQuery UI:66.07!1"];["jQuery:99.03!1", "core-js:73.99!1"];["jQuery:98.95!1", "core-js:73.99!1"];944;1481;463;1156;529;523;948;836
weather.com;14;https://www.weather.com;["React", "IfVisible.js", "Underscore"];["GreenSock JS:100.00!1", "Underscore:100.00!3"];["Underscore:100.00!3", "core-js:96.60!2"];[];["IfVisible.js:100", "Underscore:99.4"];["Underscore:99.64!3"];["Underscore:85.51!3"];["GreenSock JS:97.68!1", "Underscore:85.51!3", "core-js:63.54!2"];["Underscore:85.51!3"];3594;4600;3093;4380;3055;3753;2228;3539
espn.com;18;https://www.espn.com;["React", "Lo-Dash", "jQuery", "Moment.js", "Underscore", "Backbone", "Moment Timezone", "core-js", "Modernizr"];["Moment.js:100.00!2", "Backbone:100.00!1", "jQuery:100.00!1", "Lo-Dash:100.00!1", "Underscore:96.67!1", "core-js:96.10!1", "Modernizr:76.09!1", "Moment Timezone:66.67!1"];["jQuery:100.00!1", "Lo-Dash:100.00!1", "Moment.js:99.54!2", "Backbone:99.23!1", "core-js:97.15!1", "Moment Timezone:94.45!2", "Underscore:93.33!1", "Modernizr:74.94!1"];["Lo-Dash:100.00!1", "jQuery:99.91!1", "Backbone:97.70!1", "Moment.js:97.07!1", "core-js:95.55!1", "Underscore:92.22!1", "Moment Timezone:88.89!1", "Modernizr:71.04!1"];["Lo-Dash:100", "jQuery:99.8", "Moment.js:97.4", "Underscore:92.0", "Backbone:90.3", "Moment Timezone:89.4", "core-js:98.9", "Modernizr:62.2"];["Lo-Dash:100.01!1", "jQuery:99.81!1", "Moment.js:95.90!1", "core-js:95.00!1", "Backbone:93.69!1", "Underscore:93.62!1", "Moment Timezone:89.39!1", "Modernizr:59.91!1"];["Lo-Dash:100.01!1", "jQuery:99.64!1", "Moment.js:95.33!1", "core-js:94.50!1", "Backbone:93.69!1", "Underscore:93.10!1", "Moment Timezone:89.39!1", "Modernizr:59.91!1"];["Lo-Dash:100.00!1", "jQuery:98.52!1", "Moment.js:95.33!1", "core-js:93.78!1", "Backbone:93.69!1", "Underscore:93.10!1", "Moment Timezone:89.39!1", "Modernizr:59.91!1"];["Lo-Dash:100.00!1", "jQuery:98.38!1", "Moment.js:95.33!1", "core-js:93.78!1", "Backbone:93.69!1", "Underscore:93.10!1", "Moment Timezone:89.39!1", "Modernizr:59.91!1"];526;480;393;748;614;535;525;574
xnxx.com;21;https://www.xnxx.com;["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery:100.00!1", "RequireJS:100.00!1"];["jQuery:100.00!1", "RequireJS:99.26!1"];["jQuery:99.91!1", "RequireJS:99.33!1"];["jQuery:99.8", "RequireJS:99.4", "Dojo:64"];["jQuery:99.81!1", "RequireJS:99.34!1"];["jQuery:99.65!1", "RequireJS:99.34!1"];["RequireJS:99.34!1", "jQuery:98.55!1"];["RequireJS:99.34!1", "jQuery:98.42!1"];153;145;146;140;133;136;131;118
mayoclinic.org;22;https://www.mayoclinic.org;["jQuery@1.11.0", "jQuery UI@1.12.1"];["jQuery:100.00!1"];["jQuery:100.00!1", "jQuery UI:79.56!1"];["jQuery:99.91!1", "jQuery UI:77.39!1"];["jQuery:99.7", "jQuery UI:75.9"];["jQuery:99.74!1", "jQuery UI:71.94!1"];["jQuery:99.51!1", "jQuery UI:65.88!1"];["jQuery:98.31!1"];["jQuery:97.96!1"];182;184;183;179;176;166;157;148
rottentomatoes.com;25;https://www.rottentomatoes.com;["jQuery UI@1.12.1", "jQuery@3.4.0"];["jQuery:100.00!1", "jQuery UI:100.00!1"];["jQuery:100.00!1", "jQuery UI:100.00!1"];["jQuery UI:100.00!1", "jQuery:99.91!1"];["jQuery UI:99.9", "jQuery:99.9"];["jQuery UI:99.91!1", "jQuery:99.89!1"];["jQuery:99.75!1", "jQuery UI:99.66!1"];["jQuery:98.92!1", "jQuery UI:98.82!1"];["jQuery:98.82!1", "jQuery UI:97.57!1"];540;306;438;361;339;762;268;625
