domain;domain rank;url;ground truth;LDC;Wappalyzer;PTdetector;comment
youtube.com;2;https://www.youtube.com;["Hammer.js@2.0.2", "SPF"];["Hammer.js@2.0.2", "SPF"];["Hammer.js@2.0.2"];["Hammer.js:98.6", "SPF:89.5"];NULL
amazon.com;3;https://www.amazon.com;["React", "Lo-Dash", "core-js", "Underscore"];["React", "Lo-Dash@4.17.15", "core-js"];["React", "jQuery", "Lo-Dash@4.17.5", "core-js@3.17.3"];["Lo-Dash:100", "Underscore:92.0", "core-js:98.1"];NULL
imdb.com;5;https://www.imdb.com;["React", "Lo-Dash:100", "Underscore"];["React", "Lo-Dash@4.17.21"];["React"];["Lo-Dash:100", "Underscore:92.0"];NULL
pornhub.com;7;https://www.pornhub.com;["jQuery@3.6.0", "jQuery UI@1.12.1", "Head JS"];["jQuery@3.6.0", "jQuery UI@1.12.1", "Head JS", "Vue@2.6.8"];["jQuery@3.6.0", "jQuery UI@1.12.1", "Vue@2.6.8"];["Head JS:100.0", "jQuery:99.9", "jQuery UI:99.9"];NULL
merriam-webster.com;11;https://www.merriam-webster.com;["jQuery@3.6.3", "jQuery UI@1.13.2", "Vue", "core-js"];["jQuery@3.6.3", "jQuery UI@1.13.2", "Vue", "core-js"];["jQuery@3.6.3", "jQuery UI@1.13.2", "core-js@3.27.2"];["jQuery:99.9", "jQuery UI:96.1", "core-js:74.0"];NULL
weather.com;14;https://www.weather.com;["React", "IfVisible.js", "Underscore"];["React"];["React", "Lo-Dash"];["IfVisible.js:100", "Underscore:99.4"];NULL
espn.com;18;https://www.espn.com;["React", "Lo-Dash", "jQuery", "Moment.js", "Underscore", "Backbone", "Moment Timezone", "core-js", "Modernizr"];["FlotCharts@0.8.3", "React", "Lo-Dash@4.15.0", "jQuery@2.2.2", "Moment.js@2.13.0", "Moment Timezone@0.5.4", "Backbone@1.3.3", "core-js", "Modernizr@2.8.3"];["Underscore.js", "React", "Lo-Dash@4.15.0", "jQuery@2.2.2", "Moment.js@2.13.0", "Backbone@1.3.3", "core-js@2.5.0", "Modernizr@2.8.3"];["Lo-Dash:100", "jQuery:99.8", "Moment.js:97.4", "Underscore:92.0", "Backbone:90.3", "Moment Timezone:89.4", "core-js:98.9", "Modernizr:62.2"];NULL
xnxx.com;21;https://www.xnxx.com;["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery:99.8", "RequireJS:99.4", "Dojo:64"];NULL
mayoclinic.org;22;https://www.mayoclinic.org;["jQuery@1.11.0", "jQuery UI@1.12.1"];["jQuery@1.11.0", "jQuery UI@1.12.1"];["jQuery@1.11.0", "jQuery UI@1.12.1"];["jQuery:99.7", "jQuery UI:75.9"];NULL
rottentomatoes.com;25;https://www.rottentomatoes.com;["jQuery UI@1.12.1", "jQuery@3.4.0"];["jQuery UI@1.12.1", "jQuery@3.4.0"];["jQuery UI@1.12.1", "jQuery@3.4.0"];["jQuery UI:99.9", "jQuery:99.9"];NULL
nfl.com;28;https://www.nfl.com;["jQuery@3.6.0", "RequireJS@2.3.5", "React"];["jQuery@3.6.0", "RequireJS@2.3.5", "React"];["jQuery@3.6.0", "RequireJS@2.3.5"];["jQuery:99.9", "RequireJS:98.9"];NULL
mlb.com;29;https://www.mlb.com;["Lo-Dash@4.17.20", "jQuery@3.6.0", "React", "Underscore", "core-js@3.15.1"];["Lo-Dash@4.17.20", "jQuery@3.6.0", "React", "core-js@3.15.1"];["Lo-Dash@4.17.20", "jQuery@3.6.0", "React", "core-js@3.15.1"];["Lo-Dash:100", "jQuery:99.9", "Underscore:92.0", "core-js:98.9"];NULL
ebay.com;35;https://www.ebay.com;["jQuery@3.5.1", "jQuery UI@1.10.2"];["jQuery@3.5.1", "jQuery UI@1.10.2"];["jQuery@3.5.1", "jQuery UI@1.10.2"];["jQuery:99.9", "jQuery UI:76.2", "Dojo: 64"];NULL
cambridge.org;36;https://www.cambridge.org;["jQuery@3.6.0", "jQuery UI@1.13.1"];["jQuery@3.6.0", "jQuery UI@1.13.1"];["jQuery@3.6.0", "jQuery UI@1.13.1"];["jQuery:99.9", "jQuery UI:83.8"];NULL
nih.gov;37;https://www.nih.gov;["jQuery@2.2.4", "FlexSlider"];["jQuery@2.2.4"];["jQuery@2.2.4", "FlexSlider"];["jQuery:99.8", "FlexSlider:90.0", "Isotope:56.6"];NULL
xvideos.com;39;https://www.xvideos.com;["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery@1.12.4", "RequireJS@2.3.6"];["jQuery:99.8", "RequireJS:99.4", "Dojo:64.1"];NULL
