Rank,Domain,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords,Adwords Traffic,Adwords Cost
1,wikipedia.org,78999731,1910184735,1515073535.00,5,1075,850.00
2,youtube.com,158665483,963721299,631101361.00,1804,634873,2221584.00
3,amazon.com,72398056,813916830,584814408.00,385379,32611915,23917280.00
4,google.com,254910607,736922106,1241146386.00,13744,1733008,23983322.00
5,imdb.com,19796453,548740405,393828308.00,170,112877,73636.00
6,facebook.com,101433178,502390970,523391120.00,3490,332722,1023229.00
7,pornhub.com,3659632,438445092,204792605.00,0,0,0.00
8,instagram.com,42653577,434101991,494174728.00,2394,7922958,50654190.00
9,fandom.com,24768419,277335670,88818959.00,12,551,102.00
10,pinterest.com,71289792,262089205,118341623.00,12,415,651.00
11,merriam-webster.com,4588070,240343050,229428060.00,130,158160,32746.00
12,walmart.com,33926418,227494034,177590499.00,37613,4962672,5623306.00
13,apple.com,24478161,224520345,256459183.00,38696,3778189,6724190.00
14,weather.com,2155997,221779742,36265404.00,3636,1803215,667050.00
15,twitter.com,44219555,204294719,117272602.00,16,716,9629.00
16,yelp.com,37907971,194715100,302254007.00,953,82745,308658.00
17,yahoo.com,33017928,192544797,203006687.00,4641,4030791,2171778.00
18,espn.com,6050911,154100807,103012360.00,944,1362619,403812.00
19,britannica.com,9779407,151755721,132274976.00,1,1,0.00
20,homedepot.com,10949011,147344293,140582195.00,20877,3218207,1150615.00
21,xnxx.com,3158660,141482213,31821235.00,0,0,0.00
22,mayoclinic.org,8468296,140696802,154919836.00,718,35157,97180.00
23,tripadvisor.com,23044661,132853350,123888868.00,15613,721867,959603.00
24,reddit.com,53598378,126563536,75289439.00,191,1011,14437.00
25,rottentomatoes.com,5268829,125577330,87931061.00,7,4876,4829.00
26,nytimes.com,25338475,121232904,117824113.00,3320,311661,906203.00
27,dictionary.com,3772851,119641414,101841806.00,4,4001,861.00
28,nfl.com,1750566,115675782,176064217.00,229,24584,40442.00
29,mlb.com,1877407,115083474,60354020.00,808,209679,142017.00
30,etsy.com,27304355,113898120,77988559.00,2355,1190642,1490175.00
31,target.com,13891695,111417562,76829185.00,1257,1392413,280216.00
32,nba.com,1281662,110696927,203899952.00,3753,160189,529578.00
33,healthline.com,12680463,104752110,87651249.00,82,5015,11755.00
34,webmd.com,12616092,100119079,113603360.00,162,4157,20767.00
35,ebay.com,43168921,99043541,50016633.00,13279,147860,119194.00
36,cambridge.org,5065162,94319054,75252618.00,5,93,330.00
37,nih.gov,21352617,93782239,96509866.00,4,1276,904.00
38,thesaurus.com,1965856,90353191,46571599.00,0,0,0.00
39,xvideos.com,3340388,89462474,14760524.00,0,0,0.00
40,wiktionary.org,4271941,88996696,79235541.00,0,0,0.00
41,hotels.com,4461733,85123703,176853465.00,3654,270857,593650.00
42,cnn.com,14447262,82654866,58775699.00,31,19676,9928.00
43,clevelandclinic.org,7317565,73456729,77339445.00,525,25196,54832.00
44,lowes.com,7556787,73146368,60129310.00,14868,1774963,915149.00
45,linkedin.com,39604809,72417466,118050840.00,14934,263714,2831577.00
46,craigslist.org,2058591,72146042,42602061.00,0,0,0.00
47,tiktok.com,30713690,70282045,70808977.00,3923,82928,3366822.00
48,netflix.com,3398981,69150724,43380673.00,38,8184,13366.00
49,cdc.gov,7049553,67461336,67990739.00,3432,219018,91321.00
50,xhamster.com,2236838,66392554,30747099.00,0,0,0.00
51,collinsdictionary.com,3987820,66011745,40691227.00,0,0,0.00
52,bestbuy.com,6718808,63293251,53455388.00,7311,2783174,1723820.00
53,spotify.com,9702937,62052469,100783646.00,1414,127841,2116269.00
54,indeed.com,23193264,61164831,72773439.00,22402,2884067,1870255.00
55,zillow.com,9199466,60597508,23438571.00,14426,1846643,783486.00
56,microsoft.com,8578746,56222453,86194670.00,17694,561838,2638350.00
57,people.com,6575520,53649446,26276460.00,18,1666,1682.00
58,forbes.com,20807051,53237230,149063153.00,4574,262954,3072611.00
59,foxnews.com,4892211,50935683,44704674.00,369,138025,164073.00
60,quora.com,34428490,48441280,20011843.00,0,0,0.00
61,ca.gov,7593232,47979855,61685773.00,3084,347760,160557.00
62,cnbc.com,8350742,47533625,74195018.00,177,7600,17125.00
63,usps.com,1095211,47284957,21804796.00,1635,774436,636780.00
64,nike.com,1667584,47199350,29857186.00,4431,1314112,863995.00
65,mapquest.com,26917006,46585710,28803974.00,192,3453,5886.00
66,irs.gov,3299693,46319715,79351241.00,0,0,0.00
67,urbandictionary.com,4515358,46309138,23519853.00,0,0,0.00
68,usatoday.com,16030256,46031623,32058711.00,112,9547,14701.00
69,macys.com,4793092,45580958,119938646.00,6586,947932,4492058.00
70,timeanddate.com,1832870,45471925,15614061.00,0,0,0.00
